the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
"MULTILINESTRING ((-77.03178296071533 38.99738165331042, -77.03204431506725 38.99759917861291, -77.03210459588833 38.997654076329134, -77.03216487723293 38.99770897367741, -77.03222383869455 38.99776387135758, -77.03228280067799 38.99781876934346, -77.03234088305405 38.997873667206, -77.03239984478776 38.99792856513176, -77.03245836719329 38.99798346281289, -77.03251688925819 38.99803836046425, -77.03257541184428 38.998093258421754, -77.03263393452039 38.99814815601317, -77.03269245685591 38.99820305357483, -77.03275097971259 38.99825795144262, -77.03280994251108 38.99831284882095, -77.03286890496965 38.998367746169066, -77.03292830780248 38.9984226436991, -77.03298771029593 38.99847754086228, -77.03305107155897 38.99853243687633, -77.03315227768155 38.998628336449265, -77.03320508133028 38.99867843050461))",10708,32,1ST AVE,32,15,Silver Spring,YES,621.781745849,FENWICK LA,SPRING ST,621.8,48,AC,61.3635
"MULTILINESTRING ((-77.03320508133028 38.99867843050461, -77.03325788474254 38.99872878170503, -77.03345457887052 38.998916720457096, -77.0335131024699 38.9989716175994, -77.03357162659042 38.99902651504782, -77.033630150801 38.99908141213018, -77.03368911456853 38.999136395115336, -77.03374719910275 38.999191292264534, -77.03380572315321 38.99924618925729, -77.03386424772484 38.99930108655618, -77.0339232122447 38.99935598336144, -77.03398173656612 38.999410880264236, -77.03403982154983 38.999465777601166, -77.0340979066229 38.99952067457247, -77.03421143728276 38.99963012630618, -77.03433552498649 38.99973966055249, -77.03439405037167 38.99979455724449, -77.03445169569395 38.99984945450194, -77.03451066112045 38.99990435100484, -77.03462991453063 39.000020578811544))",10558,33,1ST AVE,33,15,Silver Spring,YES,634.79709624,SPRING ST,BALLARD ST,634.8,28,AC,73.72
"MULTILINESTRING ((-77.03462991453063 39.000020578811544, -77.03473684632 39.00012393992282, -77.03479449260382 39.00017883700744, -77.03485169911269 39.0002337338579, -77.03490978543768 39.000288630417245, -77.03496831128581 39.00034352715197, -77.03502683765481 39.00039842352046, -77.03508536411402 39.00045331985904, -77.0351438902328 39.000508216504016, -77.03520285673808 39.000563112650426, -77.03526138303742 39.000618008899195, -77.03531990985798 39.00067290545406, -77.03537843676858 39.00072780164289, -77.03543696333873 39.000782698138096, -77.03549549042974 39.0008375942671, -77.03555357774327 39.000892490499844, -77.0356121045837 39.00094738690551, -77.03567019207664 39.00100228307911, -77.03572915939651 39.001057178954554, -77.03578724663855 39.00111207540506, -77.03584577427013 39.00116697135501, -77.03590430199193 39.00122186727506, -77.03596238950324 39.00127676363672, -77.03602091740511 39.001331659497154, -77.036078125785 39.00138655573463, -77.03614193188854 39.00144145024168, -77.0362757074513 39.001561618806825))",10424,34,1ST AVE,34,15,Silver Spring,YES,730.642490052,BALLARD ST,NOYES DR,730.6,28,AC,87.4401
"MULTILINESTRING ((-77.0362757074513 39.001561618806825, -77.03638660077809 39.00166103019075, -77.03644380970451 39.001715926581795, -77.0365005788458 39.00177082274529, -77.03655822782152 39.00182571860569, -77.03661543658163 39.001880614911016, -77.03667352560883 39.00193551057567, -77.03673425354152 39.001990405382344, -77.0367941022492 39.00204530076957, -77.0368557101187 39.00210019523524, -77.03691731851399 39.002155089667696, -77.03697804682194 39.00220998468146, -77.03703877522332 39.00226487932689, -77.03720160000586 39.00241403923599))",10263,35,1ST AVE,35,15,Silver Spring,YES,407.000511264,NOYES DR,WILSON PL,407,24,AC,54.4387
"MULTILINESTRING ((-77.03720160000586 39.00241403923599, -77.03727861148425 39.00248445924027, -77.03735122341634 39.00255230621654, -77.03739435175704 39.00259425000821, -77.03745156220963 39.002649145895674, -77.03749204924836 39.00268782999453, -77.03756246267115 39.00275576326451, -77.03763287588818 39.00282386827348, -77.03767908483076 39.0028687285761, -77.0377354159626 39.00292362426874, -77.037844117781 39.003030070963916, -77.03791453226926 39.0030995487126, -77.03795942128305 39.00314320786245, -77.038015752848 39.003198103416956, -77.03812577524371 39.003304720861514, -77.0382111507946 39.00338337432086))",10154,36,1ST AVE,36,15,Silver Spring,YES,454.940698911,WILSON PL,HIGHLAND DR,454.9,24,AC,32.2228
"MULTILINESTRING ((-77.0382111507946 39.00338337432086, -77.0383370138474 39.003499510721795, -77.03840742767555 39.00356521265606, -77.03847784120278 39.00363091454719, -77.03854825490646 39.00369670245421, -77.0386186691244 39.003762404258616, -77.03866223709508 39.00380194516567, -77.03872252869652 39.003856839063936, -77.03882991001235 39.003956421030736, -77.03890032286343 39.00401946289561, -77.03895489409175 39.00407032589343))",10043,37,1ST AVE,37,15,Silver Spring,YES,327.523832551,HIGHLAND DR,BARTHOLOMEW CT,327.5,24,AC,30.2819
"MULTILINESTRING ((-77.03895489409175 39.00407032589343, -77.0390204677041 39.00413130992609, -77.0390781205323 39.00418620451752, -77.0391362133379 39.004241099268924, -77.03918198255882 39.00428287005789, -77.03925239798271 39.00434942937532, -77.03932281296993 39.00441495930104, -77.03939322937184 39.0044820338782, -77.03946364566552 39.00454945130422, -77.03953406156856 39.00461592472536, -77.0396044777477 39.0046818834289, -77.0396625700245 39.00473514749553, -77.0397519092111 39.00481594355658))",9969,38,1ST AVE,38,15,Silver Spring,YES,353.627529311,BARTHOLOMEW CT,GRACE CHURCH RD,353.6,24,AC,38.797
"MULTILINESTRING ((-77.04391875066916 39.0089988086344, -77.04392807180629 39.0091338591033, -77.04397258285428 39.00926503511801, -77.04400651679055 39.009365154478736, -77.04407565198666 39.00948019014553, -77.04442726857475 39.0096985971829))",9379,300,SEMINARY RD,300,15,Silver Spring,YES,310.3812783,LINDEN LA,BROOKVILLE RD,310.4,32,AC,60.7735
"MULTILINESTRING ((-77.04327801843758 39.012220432983575, -77.04320031318576 39.012483962395464))",8887,302,2ND AVE,302,15,Silver Spring,YES,98.4861017424,LANSDOWNE WAY,Dead End,98.4861017424,19.9,AC,85.36
"MULTILINESTRING ((-77.03021564233443 38.99478883860453, -77.03066736978602 38.99488893919427))",11018,308,2ND AVE,308,15,Silver Spring,YES,133.463076051,WAYNE AVE,571 ft (0.11 Mi) SE of CAMERON ST,133.5,60,AC,80
